Wall time,Step,Value
1680191086.684541,0,16.0
1680192217.688456,20,8.0
1680193407.076841,40,16.0
1680194588.454475,60,11.0
1680195778.902454,80,4.0
1680196940.972736,100,13.0
1680198122.271202,120,5.0
1680199280.438727,140,13.0
1680200433.583001,160,10.0
1680201585.210455,180,18.0
1680202742.393186,200,11.0
1680203902.676697,220,12.0
1680205063.150938,240,20.0
1680206308.811034,260,9.0
1680207638.280518,280,13.0
1680208861.684723,300,10.0
1680210080.173111,320,9.0
1680211268.124753,340,11.0
1680212458.224896,360,14.0
1680213656.066205,380,18.0
1680214857.737533,400,5.0
1680216056.410619,420,8.0
1680217260.805002,440,6.0
1680218454.545133,460,6.0
1680219651.896127,480,11.0
1680220860.952796,500,13.0
1680222080.297747,520,9.0
1680223288.774911,540,11.0
1680224501.985427,560,3.0
1680225693.670503,580,9.0
1680226912.449209,600,6.0
1680228148.940984,620,12.0
1680229363.687822,640,15.0
1680230568.963116,660,17.0
1680231780.444648,680,5.0
1680232994.334901,700,10.0
1680234204.011211,720,3.0
1680235426.336681,740,7.0
1680236646.026199,760,6.0
1680237864.834185,780,7.0
1680239095.197662,800,9.0
1680240302.299034,820,9.0
1680241519.710637,840,12.0
1680242742.283443,860,2.0
1680243968.364558,880,8.0
1680245183.969646,900,9.0
1680246382.881638,920,8.0
1680247609.751708,940,13.0
1680248842.748605,960,9.0
1680250075.484333,980,8.0
1680251292.396284,1000,6.0
