Wall time,Step,Value
1680191086.685024,0,0.0
1680192217.690571,20,0.0
1680193407.077384,40,0.0
1680194588.455999,60,0.0
1680195778.902907,80,0.0
1680196940.974718,100,1.0
1680198122.272552,120,1.0
1680199280.439236,140,0.0
1680200433.584114,160,0.0
1680201585.210884,180,0.0
1680202742.393937,200,0.0
1680203902.677138,220,0.0
1680205063.151368,240,0.0
1680206308.811615,260,0.0
1680207638.282378,280,0.0
1680208861.685158,300,0.0
1680210080.173599,320,0.0
1680211268.125189,340,0.0
1680212458.225398,360,0.0
1680213656.066667,380,0.0
1680214857.738504,400,0.0
1680216056.412064,420,0.0
1680217260.80705,440,0.0
1680218454.546842,460,0.0
1680219651.896532,480,0.0
1680220860.953748,500,1.0
1680222080.299423,520,0.0
1680223288.775402,540,0.0
1680224501.986942,560,1.0
1680225693.670922,580,0.0
1680226912.449633,600,0.0
1680228148.941418,620,0.0
1680229363.688401,640,0.0
1680230568.964735,660,0.0
1680231780.445068,680,0.0
1680232994.335445,700,0.0
1680234204.011657,720,1.0
1680235426.337992,740,0.0
1680236646.027905,760,0.0
1680237864.834636,780,0.0
1680239095.198033,800,0.0
1680240302.299519,820,0.0
1680241519.71177,840,0.0
1680242742.284256,860,0.0
1680243968.36615,880,0.0
1680245183.970075,900,1.0
1680246382.882053,920,0.0
1680247609.752139,940,0.0
1680248842.750431,960,1.0
1680250075.485774,980,0.0
1680251292.396746,1000,0.0
