Wall time,Step,Value
1679936401.012439,5,0.0009419996058568358
1679936508.984593,18,0.0006354538490995765
1679936564.106651,24,0.0005973383667878807
1679936718.302493,40,0.0005433242185972631
1679936737.677945,42,0.0005619466537609696
1679936766.199897,45,0.0005661547766067088
1679936850.568917,53,0.0005343461525626481
1679936881.473367,56,0.0005286708474159241
1679937037.22283,71,0.0005067309830337763
1679937068.554491,74,0.0005056874360889196
1679937272.408002,94,0.00046814774395897985
1679937350.098705,102,0.0004333779215812683
1679937387.764773,106,0.0004068553098477423
1679937576.325932,126,0.00033842289121821523
1679937700.637788,139,0.00031191002926789224
1679937857.287188,155,0.0002595103869680315
1679937886.550645,158,0.000258850835962221
1679937973.512016,167,0.0002410673041595146
1679938078.807996,178,0.0002086203166982159
1679938126.816915,183,0.00020136020611971617
1679938146.283874,185,0.0002015566424233839
1679938155.958412,186,0.00019931382848881185
1679938194.438038,190,0.00019178054935764521
1679938359.239438,207,0.00017578374536242336
1679938512.252977,223,0.00015566452930215746
1679938570.164038,229,0.00015054253162816167
1679938618.208508,234,0.0001387727097608149
1679938761.543408,249,0.00013186137948650867
1679938820.21449,255,0.0001401946065016091
1679938867.887139,260,0.00013506099639926106
1679938934.354649,267,0.00012622236681636423
1679938973.389143,271,0.00013184187992010266
1679938991.997324,273,0.00012097756552975625
1679939173.625752,292,0.0001094460385502316
1679939329.473284,308,0.00010861224291147664
1679939349.203845,310,0.00010301764996256679
1679939425.074085,318,0.0001029516861308366
1679939540.726963,330,9.436562686460093e-05
1679939628.148981,339,9.703750401968136e-05
1679939704.142089,347,8.920958498492837e-05
1679939859.99801,363,8.459466334898025e-05
1679939900.222986,367,8.440362580586225e-05
1679940427.264413,421,5.998766573611647e-05
1679940436.608678,422,5.853481707163155e-05
1679940599.54369,439,6.213504821062088e-05
1679940627.907389,442,5.894824062124826e-05
1679940656.117759,445,5.8223577070748433e-05
1679940807.201522,460,5.306101229507476e-05
1679940835.7046,463,5.169717042008415e-05
1679940845.321321,464,5.497345409821719e-05
1679940941.093623,474,4.962990351486951e-05
1679941108.826541,491,4.7678993723820895e-05
1679941127.984842,493,4.7557594371028244e-05
1679941337.207027,514,4.558328873827122e-05
1679941367.273228,517,4.232375795254484e-05
1679941505.583241,531,4.4849955884274095e-05
1679941554.889284,536,4.570165037875995e-05
1679941662.038212,547,3.992465644842014e-05
1679941762.58015,557,3.728266165126115e-05
1679941821.196816,563,3.515739808790386e-05
1679941919.235337,573,3.549952816683799e-05
1679941979.065078,579,3.630192804848775e-05
1679941999.113407,581,3.164175359415822e-05
1679942049.195987,586,3.317814116599038e-05
1679942059.117781,587,3.381267742952332e-05
1679942211.144655,602,3.262050813646056e-05
1679942391.014978,620,3.0008575777173974e-05
1679942411.248299,622,3.504504275042564e-05
1679942531.759472,634,2.9571725463028997e-05
1679942602.177615,641,2.6009218345279805e-05
1679942612.379144,642,2.5621849999879487e-05
1679942632.057185,644,2.7523816243046895e-05
1679942662.308144,647,2.7496336770127527e-05
1679942682.020878,649,2.837564352375921e-05
1679942803.400631,661,2.364009378652554e-05
1679942903.469943,671,2.1920883227721788e-05
1679943023.421632,683,2.244036841148045e-05
1679943073.815344,688,2.1404268409241922e-05
1679943337.918797,714,1.9233479179092683e-05
1679943378.210194,718,1.7094371287385002e-05
1679943417.735144,722,1.629546022741124e-05
1679943427.798455,723,1.64566718012793e-05
1679943499.093756,730,1.7232094251085073e-05
1679943590.027644,739,1.545958366477862e-05
1679943630.826246,743,1.3570443115895614e-05
1679943672.1049,747,1.5157923371589277e-05
1679943724.570554,752,1.4568599908670876e-05
1679943766.46618,756,1.4788009139010683e-05
1679943858.663597,765,1.1614726645348128e-05
1679943900.844205,769,1.2669124771491624e-05
1679943921.540124,771,1.5126557627809234e-05
1679943942.37896,773,1.3350978406379e-05
1679944013.502952,780,1.3733282685279846e-05
1679944064.020553,785,1.3194684470363427e-05
1679944084.403529,787,1.2638077350857202e-05
1679944135.480933,792,1.306130343436962e-05
1679944155.665004,794,1.4112545613897964e-05
1679944198.422789,798,1.260007957171183e-05
1679944242.92509,802,1.367096683679847e-05
1679944305.274979,808,1.4690456737298518e-05
1679944315.806025,809,1.4391643162525725e-05
1679944559.702892,832,1.932354825839866e-05
1679944600.645275,836,1.1293915122223552e-05
1679944948.428607,869,1.3218900676292833e-05
1679945001.572147,874,1.1759537301259115e-05
1679945022.597472,876,1.004323348752223e-05
1679945086.121102,882,9.49971035879571e-06
1679945232.376098,896,8.960194463725202e-06
1679945273.701061,900,7.3510350375727285e-06
1679945352.063072,907,9.084387784241699e-06
1679945373.244032,909,8.745271770749241e-06
1679945434.602597,915,8.361953405255917e-06
1679945455.277501,917,8.887308467819821e-06
1679945604.187791,931,7.047656708891736e-06
1679945614.89728,932,8.381727639061864e-06
1679945718.775744,942,8.299663022626191e-06
1679945750.147736,945,6.400891379598761e-06
1679945845.303911,954,5.511903964361409e-06
1679945886.435386,958,7.2080251811712515e-06
1679945928.159172,962,6.536368800880155e-06
1679946021.662994,971,4.460049694898771e-06
1679946031.894741,972,5.518510988622438e-06
1679946094.453776,978,5.477769263961818e-06
1679946105.003708,979,5.498249720403692e-06
1679946156.368954,984,5.653075731970603e-06
1679946280.900173,996,4.73824866276118e-06
1679946344.783354,1002,6.728379503329052e-06
1679946375.872125,1005,5.461874025058933e-06
1679946470.496337,1014,4.555527993943542e-06
1679946585.570171,1025,3.7438742310769157e-06
1679946782.261654,1044,3.6492956496658735e-06
1679946917.494793,1057,3.697292186188861e-06
1679946978.59915,1063,3.7187878660915885e-06
1679947009.164166,1066,4.385756255942397e-06
1679947029.609977,1068,4.275226274330635e-06
1679947070.317211,1072,5.684244570147712e-06
1679947132.299873,1078,4.611064014170552e-06
1679947184.132954,1083,5.445223450806225e-06
1679947287.691227,1093,5.358770522434497e-06
1679947352.691398,1099,7.13835015631048e-06
1679947396.53517,1103,5.039787538407836e-06
1679947406.714158,1104,5.5516456995974295e-06
1679947510.955672,1114,6.712430604238762e-06
1679947563.162007,1119,5.399117981141899e-06
1679947947.204051,1156,6.844645668024896e-06
1679947987.941154,1160,4.882872417510953e-06
1679947998.233423,1161,5.237091045273701e-06
1679948008.205437,1162,4.904828983853804e-06
1679948196.071964,1180,6.637930255237734e-06
1679948319.335531,1192,5.723685717384797e-06
1679948330.005368,1193,5.4781758080935106e-06
1679948392.359259,1199,4.943048224959057e-06
1679948467.010755,1206,5.2098275773460045e-06
1679948735.405169,1232,4.59158991361619e-06
1679948756.333003,1234,4.073996024089865e-06
1679948860.141038,1244,2.512873379600933e-06
1679948976.589724,1255,2.6473803700355347e-06
1679949009.236775,1258,3.261451865910203e-06
1679949041.905646,1261,2.445767222525319e-06
1679949264.194045,1281,1.960925828825566e-06
1679949329.493861,1287,2.2938393158256076e-06
1679949406.37617,1294,3.3489379802631447e-06
1679949471.092779,1300,2.7167252483195625e-06
1679949578.772381,1310,5.979753495921614e-06
1679949641.794772,1316,5.821015747642377e-06
1679949672.635267,1319,4.727409759652801e-06
1679949785.425413,1330,4.871147211815696e-06
1679949816.03388,1333,3.5397824831306934e-06
1679949846.109625,1336,4.578304469760042e-06
1679949856.222545,1337,4.252694907336263e-06
1679950364.330484,1385,4.220835762680508e-06
1679950396.753687,1388,3.457286311459029e-06
1679950427.958684,1391,3.973364528064849e-06
1679950438.547107,1392,2.914977130785701e-06
1679950675.884858,1414,2.3428117401635973e-06
1679950805.025947,1426,2.029484448939911e-06
1679950826.530883,1428,2.326782123418525e-06
1679950870.008335,1432,1.7579861832928145e-06
1679950912.815834,1436,2.0760360257554566e-06
1679950955.06046,1440,2.3936895559018012e-06
1679951230.667189,1465,2.1734963411290664e-06
1679951241.331886,1466,1.80958295459277e-06
1679951360.200063,1477,1.7570232557773124e-06
1679951445.765399,1485,1.7113253534262185e-06
1679951489.080658,1489,1.3960521982880891e-06
1679951510.851871,1491,1.433711531717563e-06
1679951693.688546,1508,3.2543778161198134e-06
1679951853.709881,1523,1.7635201174925896e-06
1679951897.354165,1527,1.9988694930361817e-06
1679952173.51842,1552,3.215445303794695e-06
1679952348.476637,1568,1.741683036016184e-06
1679952358.927257,1569,1.8629283431437216e-06
1679952520.025045,1584,2.3649572540307418e-06
1679952562.049686,1588,2.711166644076002e-06
1679952659.756243,1597,2.019181920331903e-06
1679952739.762321,1604,2.6058644380100304e-06
1679952750.409394,1605,1.951405238287407e-06
1679952894.192627,1618,3.3422654723835876e-06
1679952994.750855,1627,2.7091261927125743e-06
1679953050.718235,1632,2.092215481752646e-06
1679953106.804651,1637,3.5593052416516002e-06
1679953139.797102,1640,3.0853029784339014e-06
1679953192.837556,1645,3.1863144158705836e-06
1679953224.43529,1648,2.383308128628414e-06
